Dose;Total;Mobile;Immobile;Exp,
0;5;5;0;Exp1,
0;5;4;1;Exp1,
0;5;5;0;Exp1,
0;5;5;0;Exp1,
0;5;5;0;Exp1,
0;5;5;0;Exp1,
0;5;5;0;Exp1,
0;5;5;0;Exp1,
0,075;5;5;0;Exp1
0,075;5;5;0;Exp1
0,075;5;5;0;Exp1
0,075;5;5;0;Exp1
0,15;5;5;0;Exp1
0,15;5;5;0;Exp1
0,15;5;4;1;Exp1
0,15;5;4;1;Exp1
0,3;5;5;0;Exp1
0,3;5;3;2;Exp1
0,3;5;4;1;Exp1
0,3;5;4;1;Exp1
0,6;5;3;2;Exp1
0,6;5;3;2;Exp1
0,6;5;2;3;Exp1
0,6;5;5;0;Exp1
1,2;5;0;5;Exp1
1,2;5;0;5;Exp1
1,2;5;0;5;Exp1
1,2;5;0;5;Exp1
1;5;0;5;Exp2,
1;5;0;5;Exp2,
1;5;0;5;Exp2,
1;5;0;5;Exp2,
0,5;5;0;5;Exp2
0,5;5;0;5;Exp2
0,5;5;1;4;Exp2
0,5;5;1;4;Exp2
0,25;5;5;0;Exp2
0,25;5;5;0;Exp2
0,25;5;5;0;Exp2
0,25;4;4;0;Exp2
0,125;5;5;0;Exp2
0,125;5;5;0;Exp2
0,125;5;5;0;Exp2
0,125;5;5;0;Exp2
0,063;5;5;0;Exp2
0,063;5;5;0;Exp2
0,063;5;5;0;Exp2
0,063;5;5;0;Exp2
0;5;5;0;Exp2,
0;5;5;0;Exp2,
0;5;5;0;Exp2,
0;5;5;0;Exp2,
0;5;5;0;Exp2,
0;5;5;0;Exp2,
0;5;5;0;Exp2,
0;5;5;0;Exp2,
0;5;5;0;Exp3,
0;5;5;0;Exp3,
0;5;5;0;Exp3,
0;5;5;0;Exp3,
0;5;5;0;Exp3,
0;5;5;0;Exp3,
0;5;5;0;Exp3,
0;5;5;0;Exp3,
0,075;5;5;0;Exp3
0,075;5;5;0;Exp3
0,075;5;5;0;Exp3
0,075;5;3;2;Exp3
0,15;5;2;3;Exp3
0,15;5;3;2;Exp3
0,15;5;3;2;Exp3
0,15;5;2;3;Exp3
0,3;5;1;4;Exp3
0,3;5;3;2;Exp3
0,3;5;0;5;Exp3
0,3;5;1;4;Exp3
0,6;5;2;3;Exp3
0,6;5;0;5;Exp3
0,6;5;0;5;Exp3
0,6;5;0;5;Exp3
1,2;5;0;5;Exp3
1,2;5;0;5;Exp3
1,2;5;0;5;Exp3
1,2;5;0;5;Exp3
0;5;5;0;Exp4,
0;5;5;0;Exp4,
0;5;5;0;Exp4,
0;5;5;0;Exp4,
0;5;5;0;Exp4,
0;5;5;0;Exp4,
0;5;5;0;Exp4,
0;5;5;0;Exp4,
0,075;5;4;1;Exp4
0,075;5;4;1;Exp4
0,075;5;5;0;Exp4
0,075;5;4;1;Exp4
0,15;5;3;2;Exp4
0,15;5;3;2;Exp4
0,15;5;4;1;Exp4
0,15;5;1;4;Exp4
0,3;5;2;3;Exp4
0,3;5;3;2;Exp4
0,3;5;2;3;Exp4
0,3;5;0;5;Exp4
0,6;5;0;5;Exp4
0,6;5;0;5;Exp4
0,6;5;0;5;Exp4
0,6;5;1;4;Exp4
1,2;5;0;5;Exp4
1,2;5;0;5;Exp4
1,2;5;0;5;Exp4
1,2;5;0;5;Exp4
0;5;5;0;Exp5,
0;5;4;1;Exp5,
0;5;5;0;Exp5,
0;5;5;0;Exp5,
0;5;5;0;Exp5,
0;5;5;0;Exp5,
0;5;5;0;Exp5,
0;5;5;0;Exp5,
0,075;5;5;0;Exp5
0,075;5;5;0;Exp5
0,075;5;5;0;Exp5
0,075;5;5;0;Exp5
0,15;5;5;0;Exp5
0,15;5;5;0;Exp5
0,15;5;4;1;Exp5
